,tweet_id,tweet_text,sentiment,emotion,subject_type,subject,subject_stance
0,1803825479830450621,"Please mansplain. If Amy Coney Barrett, John Roberts, Samuel Alito, Neil Gorsuch, Clarence Thomas, and/or Brett Kavanaugh say Donald Trump has Presidential immunity, why can't President Joe Biden simply ship any Justice and the Trump Family off to Russia? https://t.co/LuuJ9quGi7",negative,"anger, outrage",entity,Donald Trump,nonsupportive
1,1803825479830450621,"Please mansplain. If Amy Coney Barrett, John Roberts, Samuel Alito, Neil Gorsuch, Clarence Thomas, and/or Brett Kavanaugh say Donald Trump has Presidential immunity, why can't President Joe Biden simply ship any Justice and the Trump Family off to Russia? https://t.co/LuuJ9quGi7",negative,"anger, outrage",topic,Presidential immunity,supportive
2,1803825479830450621,"Please mansplain. If Amy Coney Barrett, John Roberts, Samuel Alito, Neil Gorsuch, Clarence Thomas, and/or Brett Kavanaugh say Donald Trump has Presidential immunity, why can't President Joe Biden simply ship any Justice and the Trump Family off to Russia? https://t.co/LuuJ9quGi7",negative,"anger, outrage",entity,Joe Biden,nonsupportive
3,1803825470867218939,THIS 👇What is MAGA about ? 🇺🇸 https://t.co/Vg1bodg4OK,negative,"confusion, skepticism",entity,MAGA,supportive
4,1803825470867218939,THIS 👇What is MAGA about ? 🇺🇸 https://t.co/Vg1bodg4OK,negative,"confusion, skepticism",topic,American Greatness Movement,nonsupportive
5,1803825458225844522,"""I’m not going to fight for Trump. I’m not going to fight to adhere to that party,"" said Rep. Charlie Conrad, who left the @Oregon_GOP and is now with the @ORIndependent after losing his primary over his vote to support abortion and trans rights. #orpol 
https://t.co/07vI1cpM6L",negative,"disappointment, anger",entity,Trump,nonsupportive
6,1803825458225844522,"""I’m not going to fight for Trump. I’m not going to fight to adhere to that party,"" said Rep. Charlie Conrad, who left the @Oregon_GOP and is now with the @ORIndependent after losing his primary over his vote to support abortion and trans rights. #orpol 
https://t.co/07vI1cpM6L",negative,"disappointment, anger",event,Rep. Charlie Conrad losing his primary,negative
7,1803825458225844522,"""I’m not going to fight for Trump. I’m not going to fight to adhere to that party,"" said Rep. Charlie Conrad, who left the @Oregon_GOP and is now with the @ORIndependent after losing his primary over his vote to support abortion and trans rights. #orpol 
https://t.co/07vI1cpM6L",negative,"disappointment, anger",topic,party switch in Oregon,neutral
8,1803825458225844522,"""I’m not going to fight for Trump. I’m not going to fight to adhere to that party,"" said Rep. Charlie Conrad, who left the @Oregon_GOP and is now with the @ORIndependent after losing his primary over his vote to support abortion and trans rights. #orpol 
https://t.co/07vI1cpM6L",negative,"disappointment, anger",entity,Oregon GOP,nonsupportive
9,1803825458225844522,"""I’m not going to fight for Trump. I’m not going to fight to adhere to that party,"" said Rep. Charlie Conrad, who left the @Oregon_GOP and is now with the @ORIndependent after losing his primary over his vote to support abortion and trans rights. #orpol 
https://t.co/07vI1cpM6L",negative,"disappointment, anger",entity,ORIndependent,supportive
10,1803825438164234402,@TeaPainUSA And maga nods in agreement. https://t.co/pP32m4a7vY,negative,"anger, fury",entity,Donald Trump,supportive
11,1803825438164234402,@TeaPainUSA And maga nods in agreement. https://t.co/pP32m4a7vY,negative,"anger, fury",topic,TeaParty,nonsupportive
12,1803825394207838264,"Don't let the GOP fool you.

""Restorative Reproductive Medicine"" is the latest rebranding of an IVF “alternative” by religious groups who consider the process of IVF to be a form of abortion. https://t.co/8sIz1uMZrY",negative,"anger, concern",entity,GOP,nonsupportive
13,1803825394207838264,"Don't let the GOP fool you.

""Restorative Reproductive Medicine"" is the latest rebranding of an IVF “alternative” by religious groups who consider the process of IVF to be a form of abortion. https://t.co/8sIz1uMZrY",negative,"anger, concern",topic,Restorative Reproductive Medicine,positive
14,1803825394207838264,"Don't let the GOP fool you.

""Restorative Reproductive Medicine"" is the latest rebranding of an IVF “alternative” by religious groups who consider the process of IVF to be a form of abortion. https://t.co/8sIz1uMZrY",negative,"anger, concern",event,IVF considered a form of abortion by some groups,supportive
15,1803825385517301769,"Biden to ban US sales of Kaspersky software over ties to Russia, source says https://t.co/hinLRhMkfc",negative,NA,entity,Kaspersky software,nonsupportive
16,1803825382459683276,"NC Republicans want new constitutional amendments on voter ID, citizen voting and income tax. 

However, the changes would essentially have no effect on existing law. So why do it? 

Critics say it's a way for the GOP to drive turnout in 2024. 
#ncpol

https://t.co/QRie4gk8h8",negative,NA,event,New constitutional amendments proposed by Republicans,supportive
17,1803825382459683276,"NC Republicans want new constitutional amendments on voter ID, citizen voting and income tax. 

However, the changes would essentially have no effect on existing law. So why do it? 

Critics say it's a way for the GOP to drive turnout in 2024. 
#ncpol

https://t.co/QRie4gk8h8",negative,NA,entity,GOP,nonsupportive
18,1803825382459683276,"NC Republicans want new constitutional amendments on voter ID, citizen voting and income tax. 

However, the changes would essentially have no effect on existing law. So why do it? 

Critics say it's a way for the GOP to drive turnout in 2024. 
#ncpol

https://t.co/QRie4gk8h8",negative,NA,event,Voter turnout in 2024,negative
19,1803825353695146347,"""The modeled data is showing us, a lot of those Joe Biden supporters, we're seeing that they have felt regret, that they are not happy with their vote, and they're ready for a new direction.""

- @ScottPresler 

You can watch the FULL INTERVIEW HERE!: https://t.co/pICbIrh4Dh https://t.co/xfo1U0Zz1D",negative,"regret, unhappiness",entity,Joe Biden supporters,nonsupportive
20,1803825353695146347,"""The modeled data is showing us, a lot of those Joe Biden supporters, we're seeing that they have felt regret, that they are not happy with their vote, and they're ready for a new direction.""

- @ScottPresler 

You can watch the FULL INTERVIEW HERE!: https://t.co/pICbIrh4Dh https://t.co/xfo1U0Zz1D",negative,"regret, unhappiness",event,voting experience of Joe Biden supporters,negative
21,1803825334942417268,"Happening NOW: @DSCC + @dccc + @DNC holding press call ahead of anniversary of Republicans overturning Roe v. Wade.

@DSCC Vice Chair @TinaSmithMN:

""Every GOP Senate candidates is on the record opposing women's right to make their own decisions about their health care.""",negative,"anger, outrage",entity,GOP Senate candidates,nonsupportive
22,1803825334942417268,"Happening NOW: @DSCC + @dccc + @DNC holding press call ahead of anniversary of Republicans overturning Roe v. Wade.

@DSCC Vice Chair @TinaSmithMN:

""Every GOP Senate candidates is on the record opposing women's right to make their own decisions about their health care.""",negative,"anger, outrage",event,Republicans overturning Roe v. Wade,negative
23,1803825279967900034,Is Concern Overblown About Black Voters Not Turning Out For Biden? Experts Weigh In https://t.co/j5AU9Wip7K https://t.co/CtoTgWHEod,positive,none,entity,Biden,supportive
24,1803825279967900034,Is Concern Overblown About Black Voters Not Turning Out For Biden? Experts Weigh In https://t.co/j5AU9Wip7K https://t.co/CtoTgWHEod,positive,none,topic,black voters turnout,neutral
25,1803825226418942283,"The debate expectations game is a KILLER for Trump. If Biden doesn't implode dramatically, and maintains some semblance of competence, the ""senile,"" feeble, weak, incompetent theme that worries  most Americans evaporates ... and it's just Trump 2.0 vs. an old Biden.",positive,anger,entity,Donald Trump,supportive
26,1803825226418942283,"The debate expectations game is a KILLER for Trump. If Biden doesn't implode dramatically, and maintains some semblance of competence, the ""senile,"" feeble, weak, incompetent theme that worries  most Americans evaporates ... and it's just Trump 2.0 vs. an old Biden.",positive,anger,event,US presidential debate,negative
27,1803825226418942283,"The debate expectations game is a KILLER for Trump. If Biden doesn't implode dramatically, and maintains some semblance of competence, the ""senile,"" feeble, weak, incompetent theme that worries  most Americans evaporates ... and it's just Trump 2.0 vs. an old Biden.",positive,anger,entity,Joe Biden,nonsupportive
28,1803825193405632612,"""This is scary"": Biden’s FCC helps major Dem donor George Soros ""fast-track"" takeover of massive radio network: report

https://t.co/xQFgKcWMgZ",negative,"anger, concern",entity,Biden's FCC,nonsupportive
29,1803825193405632612,"""This is scary"": Biden’s FCC helps major Dem donor George Soros ""fast-track"" takeover of massive radio network: report

https://t.co/xQFgKcWMgZ",negative,"anger, concern",entity,George Soros,supportive
30,1803825193405632612,"""This is scary"": Biden’s FCC helps major Dem donor George Soros ""fast-track"" takeover of massive radio network: report

https://t.co/xQFgKcWMgZ",negative,"anger, concern",event,takeover of massive radio network,negative
31,1803825179874808079,"trump vs biden approvals by age in siena's new york state poll

trump:
18-24s: 32-65 (-33)
35-54s: 40-54 (-14)
&gt;55s: 36-61 (-25)

biden:
18-24s: 33-62 (-29)
35-54s: 42-53 (-11)
&gt;55s: 48-49 (-1)",neutral,NA,entity,Donald Trump,nonsupportive
32,1803825179874808079,"trump vs biden approvals by age in siena's new york state poll

trump:
18-24s: 32-65 (-33)
35-54s: 40-54 (-14)
&gt;55s: 36-61 (-25)

biden:
18-24s: 33-62 (-29)
35-54s: 42-53 (-11)
&gt;55s: 48-49 (-1)",neutral,NA,entity,Joe Biden,supportive
33,1803825157179641970,"@CBSNews @costareports Cuz drumpf will be soooo kind to the Palestinians ? Gawd. Grow up. Biden is not perfect but he’s not trump and that’s enough. And then there’s all the rest of the reasons…

#wtpBLUE https://t.co/cAYNOco6d4",negative,"anger, distrust",entity,Donald Trump,supportive
34,1803825157179641970,"@CBSNews @costareports Cuz drumpf will be soooo kind to the Palestinians ? Gawd. Grow up. Biden is not perfect but he’s not trump and that’s enough. And then there’s all the rest of the reasons…

#wtpBLUE https://t.co/cAYNOco6d4",negative,"anger, distrust",event,presidential election,nonsupportive
35,1803825157179641970,"@CBSNews @costareports Cuz drumpf will be soooo kind to the Palestinians ? Gawd. Grow up. Biden is not perfect but he’s not trump and that’s enough. And then there’s all the rest of the reasons…

#wtpBLUE https://t.co/cAYNOco6d4",negative,"anger, distrust",topic,Biden being chosen over Trump,positive
36,1803825126095433901,"On a serious note, this is on-par for MAGA Republican Christian Nationalists, who believe men have full domain over a woman's autonomy. And if women fight back, men will turn to violence. Violence is the end result.",negative,"anger, concern, fear",entity,MAGA Republican Christian Nationalists,nonsupportive
